MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Gedo senki,,"Animation, Adventure, Fantasy",6.4,"
In a mythical land, a man and a young boy investigate a series of unusual occurrences.","Director:
Gorô Miyazaki
| 
    Stars:
Timothy Dalton, 
Willem Dafoe, 
Mariska Hargitay, 
Jun'ichi Okada",,115.0,
The Painted Veil,,"Drama, Romance",7.5,"
A British medical doctor fights a cholera epidemic in a small Chinese village, while being trapped at home in a loveless marriage to an unfaithful wife.","Director:
John Curran
| 
    Stars:
Naomi Watts, 
Edward Norton, 
Liev Schreiber, 
Catherine An",,125.0,
Beirut,,"Action, Crime, Drama",6.5,"
Caught in the crossfires of civil war, CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind.","Director:
Brad Anderson
| 
    Stars:
Jon Hamm, 
Jay Potter, 
Khalid Benchagra, 
Ania Josse",,110.0,
An Interview with God,,"Drama, Mystery",5.8,"
An up-and-coming journalist finds his world and faith increasingly challenged when he's granted the interview of a lifetime - with someone who claims to be God.","Director:
Perry Lang
| 
    Stars:
David Strathairn, 
Brenton Thwaites, 
Yael Grobglas, 
Charlbi Dean",,97.0,
Into the Forest,,"Drama, Thriller",5.8,"
After a massive power outage, two sisters learn to survive on their own in their isolated woodland home.","Director:
Patricia Rozema
| 
    Stars:
Elliot Page, 
Evan Rachel Wood, 
Max Minghella, 
Callum Keith Rennie",,101.0,
Smurfs: The Lost Village,,"Animation, Adventure, Comedy",6.0,"
Annie the adventure She protected from citizens from a monsters from Ancient Greece.","Director:
Kelly Asbury
| 
    Stars:
Demi Lovato, 
Rainn Wilson, 
Joe Manganiello, 
Jack McBrayer",,90.0,
Kon-Tiki,,"Adventure, Biography, Drama",7.2,"
Legendary explorer Thor Heyerdahl's epic 4,300-mile crossing of the Pacific on a balsawood raft in 1947, in an effort to prove that it was possible for South Americans to settle in Polynesia in pre-Columbian times.","Directors:
Joachim Rønning, 
Espen Sandberg
| 
    Stars:
Pål Sverre Hagen, 
Anders Baasmo Christiansen, 
Gustaf Skarsgård, 
Odd-Magnus Williamson",,118.0,
Under the Shadow,,"Drama, Fantasy, Horror",6.9,"
As a mother and daughter struggle to cope with the terrors of the post-revolution, war-torn Tehran of the 1980s, a mysterious evil begins to haunt their home.","Director:
Babak Anvari
| 
    Stars:
Narges Rashidi, 
Avin Manshadi, 
Bobby Naderi, 
Arash Marandi",,84.0,
A Man for All Seasons,,"Biography, Drama, History",7.7,"
The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.","Director:
Fred Zinnemann
| 
    Stars:
Paul Scofield, 
Wendy Hiller, 
Robert Shaw, 
Leo McKern",,120.0,
Million Dollar Arm,,"Biography, Drama, Sport",7.0,"
A sports agent stages an unconventional recruitment strategy to get talented Indian cricket players to play Major League Baseball.","Director:
Craig Gillespie
| 
    Stars:
Jon Hamm, 
Aasif Mandvi, 
Alan Arkin, 
Suraj Sharma",,124.0,
The Dawn Wall,,"Documentary, Biography, Sport",8.1,"
In an unbelievable story of perseverance, free climber Tommy Caldwell and climbing partner Kevin Jorgeson attempt to scale the impossible 3000ft Dawn Wall of El Capitan.","Directors:
Josh Lowell, 
Peter Mortimer
| 
    Stars:
John Branch, 
Tommy Caldwell, 
Kevin Jorgeson",,100.0,
Big Game,,"Action, Adventure",5.4,"
A young teenager camping in the woods helps rescue the President of the United States when Air Force One is shot down near his campsite.","Director:
Jalmari Helander
| 
    Stars:
Samuel L. Jackson, 
Onni Tommila, 
Ray Stevenson, 
Victor Garber",,90.0,
The Bookshop,,Drama,6.5,"
England 1959. In a small East Anglian town, Florence Green decides, against polite but ruthless local opposition, to open a bookshop.","Director:
Isabel Coixet
| 
    Stars:
Emily Mortimer, 
Bill Nighy, 
Hunter Tremayne, 
Honor Kneafsey",,113.0,
D-Tox,,"Crime, Thriller",5.3,"
A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.","Director:
Jim Gillespie
| 
    Stars:
Sylvester Stallone, 
Charles S. Dutton, 
Polly Walker, 
Kris Kristofferson",,96.0,
A United Kingdom,,"Biography, Drama, History",6.9,"
The story of King Seretse Khama of Botswana and how his loving but controversial marriage to a British white woman, Ruth Williams, put his kingdom into political and diplomatic turmoil.","Director:
Amma Asante
| 
    Stars:
David Oyelowo, 
Rosamund Pike, 
Tom Felton, 
Jack Davenport",,111.0,
Naissance des pieuvres,,"Drama, Romance",6.7,"
After meeting at a local pool over their summer break, a love triangle forms between three adolescent girls, which proves difficult to sustain as they each desire the love of another.","Director:
Céline Sciamma
| 
    Stars:
Pauline Acquart, 
Louise Blachère, 
Adèle Haenel, 
Warren Jacquin",,85.0,
Jue di tao wang,,"Action, Adventure, Comedy",5.7,"
A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.","Director:
Renny Harlin
| 
    Stars:
Jackie Chan, 
Johnny Knoxville, 
Bingbing Fan, 
Eric Tsang",,107.0,
The Hurricane Heist,,"Action, Adventure, Crime",5.1,"
Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.","Director:
Rob Cohen
| 
    Stars:
Toby Kebbell, 
Maggie Grace, 
Ryan Kwanten, 
Ralph Ineson",,103.0,
The Night Before,,"Comedy, Fantasy",6.4,"
On Christmas Eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties.","Director:
Jonathan Levine
| 
    Stars:
Joseph Gordon-Levitt, 
Seth Rogen, 
Jillian Bell, 
Lizzy Caplan",,101.0,
Laggies,,"Comedy, Drama, Romance",6.4,"
In the throes of a quarter-life crisis, Megan panics when her boyfriend proposes, then, taking an opportunity to escape for a week, hides out in the home of her new friend, 16-year-old Annika, who lives with her world-weary single dad.","Director:
Lynn Shelton
| 
    Stars:
Keira Knightley, 
Chloë Grace Moretz, 
Sam Rockwell, 
Mark Webber",,99.0,
Mark Felt: The Man Who Brought Down the White House,,"Biography, Drama, History",6.4,"
The story of Mark Felt, who under the name ""Deep Throat"" helped journalists Bob Woodward and Carl Bernstein uncover the Watergate scandal in 1972.","Director:
Peter Landesman
| 
    Stars:
Liam Neeson, 
Diane Lane, 
Marton Csokas, 
Tony Goldwyn",,103.0,
Forces spéciales,,"Action, Drama, War",6.4,"
A French journalist in Afghanistan is kidnapped by the Taliban.","Director:
Stéphane Rybojad
| 
    Stars:
Diane Kruger, 
Djimon Hounsou, 
Benoît Magimel, 
Denis Ménochet",,109.0,
Death Warrant,,"Action, Crime, Mystery",5.7,"
In a violent and corrupt prison, decorated cop Louis Burke must infiltrate the jail to find answers to a number of inside murders. What he finds is a struggle of life and death tied in to his own past.","Director:
Deran Sarafian
| 
    Stars:
Jean-Claude Van Damme, 
Robert Guillaume, 
Cynthia Gibb, 
George Dickerson",,89.0,
Beyond a Reasonable Doubt,,"Crime, Drama, Mystery",5.9,"
Remake of the 1956 film noir film ""Beyond a Reasonable Doubt"" in which a writer's plan to expose a corrupt district attorney takes an unexpected turn.","Director:
Peter Hyams
| 
    Stars:
Jesse Metcalfe, 
Amber Tamblyn, 
Michael Douglas, 
Joel David Moore",,106.0,
The Warrior's Way,,"Action, Fantasy, Western",6.3,"
A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.","Director:
Sngmoo Lee
| 
    Stars:
Jang Dong-Gun, 
Kate Bosworth, 
Geoffrey Rush, 
Danny Huston",,100.0,
King Cobra,,"Crime, Drama",5.6,"
Veteran gay pornography producer Stephen battles two rival producers over the rights to his underage porn star creation, Brent Corrigan, with deadly results.","Director:
Justin Kelly
| 
    Stars:
Garrett Clayton, 
Christian Slater, 
Molly Ringwald, 
James Kelley",,91.0,
Mirai no Mirai,,"Animation, Adventure, Drama",7.0,"
A young boy encounters a magical garden which enables him to travel through time and meet his relatives from different eras, with guidance by his younger sister from the future.","Director:
Mamoru Hosoda
| 
    Stars:
Rebecca Hall, 
Daniel Dae Kim, 
John Cho, 
Crispin Freeman",,98.0,
Skjelvet,,"Action, Drama, Thriller",6.2,"
In 1904 an earthquake of magnitude 5.4 on the Richter scale shook Oslo, with an epicenter in the ""Oslo Graben"" which runs under the Norwegian capital. There are now signs that indicate that we can expect a major future earthquake in Oslo.","Director:
John Andreas Andersen
| 
    Stars:
Kristoffer Joner, 
Ane Dahl Torp, 
Edith Haagenrud-Sande, 
Kathrine Thorborg Johansen",,106.0,
Drinking Buddies,,"Comedy, Drama, Romance",6.1,"
Luke and Kate are coworkers at a brewery who spend their nights drinking and flirting heavily. One weekend away together with their significant others proves who really belongs together and who doesn't.","Director:
Joe Swanberg
| 
    Stars:
Olivia Wilde, 
Jake Johnson, 
Anna Kendrick, 
Ron Livingston",,90.0,
Ala Vaikunthapurramuloo,,"Action, Comedy, Drama",7.3,"
Fate plays a vital role in connecting the life of Bantu, a son who seeks validation from his cold-hearted father with the life of Raj, whose millionaire father wishes that he was more assertive.","Director:
Trivikram Srinivas
| 
    Stars:
Allu Arjun, 
Pooja Hegde, 
Tabu, 
Jayaram",,163.0,
Blue Jay,,"Drama, Romance",7.3,"
Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.","Director:
Alex Lehmann
| 
    Stars:
Mark Duplass, 
Sarah Paulson, 
Clu Gulager, 
James Andrews",,80.0,
Jui kuen II,,"Action, Comedy",7.6,"
A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts.","Directors:
Chia-Liang Liu, 
Jackie Chan
| 
    Stars:
Jackie Chan, 
Ho-Sung Pak, 
Lung Ti, 
Anita Mui",,102.0,
The Last Legion,,"Action, Adventure, War",5.4,"
As the Roman empire crumbles, young Romulus Augustus flees the city and embarks on a perilous voyage to Britain to track down a legion of supporters.","Director:
Doug Lefler
| 
    Stars:
Colin Firth, 
Ben Kingsley, 
Aishwarya Rai Bachchan, 
Peter Mullan",,101.0,
Thumbelina,,"Animation, Family, Fantasy",6.4,"
This retelling of the Hans Christian Andersen classic fairy tale has the digit-sized heroine evading the clutches of various toads, moles, and beetles before she can proceed with her courtship with her dream lover, Prince Cornelius.","Directors:
Don Bluth, 
Gary Goldman
| 
    Stars:
Jodi Benson, 
Gary Imhoff, 
Gino Conforti, 
Barbara Cook",,86.0,
Other People,,"Comedy, Drama",6.8,"
A struggling comedy writer, fresh off a breakup and in the midst of the worst year of his life, returns to Sacramento to care for his dying mother.","Director:
Chris Kelly
| 
    Stars:
Jesse Plemons, 
Molly Shannon, 
Bradley Whitford, 
Maude Apatow",,97.0,
Celeste & Jesse Forever,,"Comedy, Drama, Romance",6.6,"
A divorcing couple tries to maintain their friendship while they both pursue other people.","Director:
Lee Toland Krieger
| 
    Stars:
Rashida Jones, 
Andy Samberg, 
Elijah Wood, 
Emma Roberts",,92.0,
Racing Stripes,,"Adventure, Comedy, Drama",5.2,"
An abandoned zebra grows up believing he is a racehorse, and, with the help of his barnyard friends and a teenage girl, sets out to achieve his dream of racing with thoroughbreds.","Director:
Frederik Du Chau
| 
    Stars:
Frankie Muniz, 
David Spade, 
Snoop Dogg, 
Bruce Greenwood",,102.0,
Middle School: The Worst Years of My Life,,"Animation, Comedy, Family",6.1,"
After his principal (Andy Daly) destroys his sketchbook, Rafe (Griffin Gluck) and his best friend Leo (Thomas Barbusca) decide to ""destroy his book"" and break every rule in the school's Code of Conduct.","Director:
Steve Carr
| 
    Stars:
Griffin Gluck, 
Lauren Graham, 
Alexa Nisenson, 
Andrew Daly",,92.0,
People Like Us,,"Comedy, Drama",7.1,"
While settling his recently deceased father's estate, a salesman discovers he has a sister whom he never knew about, leading both siblings to re-examine their perceptions about family and life choices.","Director:
Alex Kurtzman
| 
    Stars:
Chris Pine, 
Elizabeth Banks, 
Michelle Pfeiffer, 
Olivia Wilde",,114.0,
Dilwale,,"Action, Comedy, Drama",5.1,"
The siblings of two estranged lovers fall for each other, unaware of the violent past that drove them apart.","Director:
Rohit Shetty
| 
    Stars:
Shah Rukh Khan, 
Kajol, 
Varun Dhawan, 
Kriti Sanon",,158.0,
The ABCs of Death,,"Comedy, Horror",4.7,"
A 26-chapter anthology that showcases death in all its vicious wonder and brutal beauty.","Directors:
Kaare Andrews, 
Angela Bettis, 
Hélène Cattet, 
Ernesto Díaz Espinoza, 
Jason Eisener, 
Bruno Forzani, 
Adrian Garcia Bogliano, 
Xavier Gens, 
Jorge Michel Grau, 
Lee Hardcastle, 
Noboru Iguchi, 
Thomas Cappelen Malling, 
Anders Morgenthaler, 
Yoshihiro Nishimura, 
Banjong Pisanthanakun, 
Simon Rumley, 
Marcel Sarmiento, 
Jon Schnepp, 
Srdjan Spasojevic, 
Timo Tjahjanto, 
Andrew Traucki, 
Nacho Vigalondo, 
Jake West, 
Ti West, 
Ben Wheatley, 
Adam Wingard, 
Yudai Yamaguchi
| 
    Stars:
Ingrid Bolsø Berdal, 
Iván González, 
Kyra Zagorsky, 
Lucy Clements",,129.0,
The Breadwinner,,"Animation, Drama, Family",7.7,"
In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.","Director:
Nora Twomey
| 
    Stars:
Saara Chaudry, 
Soma Chhaya, 
Noorin Gulamgaus, 
Laara Sadiq",,94.0,
Acrimony,,Thriller,5.8,"
A faithful wife, tired of standing by her devious husband, is enraged when it becomes clear she has been betrayed.","Director:
Tyler Perry
| 
    Stars:
Taraji P. Henson, 
Lyriq Bent, 
Crystle Stewart, 
Jazmyn Simon",,120.0,
LBJ,,"Biography, Drama, History",6.5,"
Lyndon B. Johnson aligns himself with John F. Kennedy, rises to the Presidency, and deals with the civil rights struggles of the 1960s.","Director:
Rob Reiner
| 
    Stars:
Woody Harrelson, 
Michael Stahl-David, 
Richard Jenkins, 
Jennifer Jason Leigh",,98.0,
The Bag Man,,"Action, Crime, Drama",5.2,"
A criminal bides his time at a seedy motel, waiting for his boss after killing several men and making away with a mystery bag.","Director:
David Grovic
| 
    Stars:
John Cusack, 
Rebecca Da Costa, 
Robert De Niro, 
Crispin Glover",,108.0,
Viceroy's House,,"Biography, Drama, History",6.7,"
The final Viceroy of India, Louis Francis Albert Victor Nicholas Mountbatten, 1st Earl Mountbatten of Burma (Hugh Bonneville), is tasked with overseeing the transition of British India to independence, but meets with conflict as different sides clash in the face of monumental change.","Director:
Gurinder Chadha
| 
    Stars:
Hugh Bonneville, 
Gillian Anderson, 
Manish Dayal, 
Huma Qureshi",,106.0,
Joshua,,"Drama, Horror, Thriller",5.9,"
The arrival of a newborn girl causes the gradual disintegration of the Cairn family; particularly for 9-year-old Joshua (Kogan), an eccentric boy whose proper upbringing and refined tastes both take a sinister turn.","Director:
George Ratliff
| 
    Stars:
Sam Rockwell, 
Vera Farmiga, 
Jacob Kogan, 
Celia Weston",,106.0,
The Perfect Host,,"Comedy, Crime, Thriller",6.8,"
An on-the-run convict looking for temporary cover finds it at the house of a very colorful character.","Director:
Nick Tomnay
| 
    Stars:
David Hyde Pierce, 
Clayne Crawford, 
Nathaniel Parker, 
Tyrees Allen",,93.0,
Te3n,,"Drama, Mystery, Thriller",7.3,"
A grandfather, a priest, and a police officer investigate the case of a kidnapped child.","Director:
Ribhu Dasgupta
| 
    Stars:
Amitabh Bachchan, 
Nawazuddin Siddiqui, 
Vidya Balan, 
Mukesh Chhabra",,136.0,
Coco avant Chanel,,"Biography, Drama",6.7,"
The story of Coco Chanel's rise from obscure beginnings to the heights of the fashion world.","Director:
Anne Fontaine
| 
    Stars:
Audrey Tautou, 
Benoît Poelvoorde, 
Alessandro Nivola, 
Marie Gillain",,105.0,
Wildflower,,"Drama, Thriller",5.3,"
A college student struggling with a painful childhood begins to have a reoccurring nightmare that compels her to confront her past and restore her faith.","Director:
Nicholas DiBella
| 
    Stars:
Nathalia Ramos, 
Cody Longo, 
Alexa Rose Steele, 
Benjamin Ashbrook",866.0,92.0,
Pariah,,Drama,7.2,"
A Brooklyn teenager juggles conflicting identities and risks friendship, heartbreak, and family in a desperate search for sexual expression.","Director:
Dee Rees
| 
    Stars:
Adepero Oduye, 
Kim Wayans, 
Aasha Davis, 
Pernell Walker",,86.0,
Boy Meets Girl,,"Comedy, Drama, Romance",7.1,"
Boy Meets Girl is a funny, tender, sex positive romantic comedy that explores what it means to be a real man or woman, and how important it is to live a courageous life not letting fear stand in the way of going after your dreams.","Director:
Eric Schaeffer
| 
    Stars:
Michael Welch, 
Michelle Hendley, 
Alexandra Turshen, 
Michael Galante",,95.0,
Operation Avalanche,,"Drama, Mystery, Thriller",6.1,"
In 1967, four undercover CIA agents were sent to NASA posing as a documentary film crew. What they discovered led to one of the biggest conspiracies in American history.","Director:
Matt Johnson
| 
    Stars:
Matt Johnson, 
Owen Williams, 
Andrew Appelle, 
Jared Raab",,94.0,
Dealin' with Idiots,,Comedy,5.4,"
After experiencing the insanity of the adults connected to his son's baseball team, a comedian researches for a comedy movie about them.","Director:
Jeff Garlin
| 
    Stars:
Jeff Garlin, 
Steve Agee, 
Gina Gershon, 
Jami Gertz",,88.0,
Contracted,,"Drama, Horror, Thriller",5.3,"
After being drugged and raped at a party, a young woman contracts what she thinks is an STD; but, it's actually something much worse.","Director:
Eric England
| 
    Stars:
Najarra Townsend, 
Caroline Williams, 
Alice Macdonald, 
Matt Mercer",,84.0,
XX,,Horror,4.6,"
Four short horror films that are directed and written by women.","Directors:
Roxanne Benjamin, 
Sofìa Carrillo, 
Karyn Kusama, 
St. Vincent, 
Jovanka Vuckovic
| 
    Stars:
Natalie Brown, 
Jonathan Watton, 
Peter DaCunha, 
Peyton Kennedy",,80.0,
V/H/S Viral,,"Horror, Thriller",4.2,"
A Los Angeles police chase sends a fame-obsessed man on a wild ride to save his girlfriend from a cybernetic terror.","Directors:
Justin Benson, 
Gregg Bishop, 
Todd Lincoln, 
Aaron Moorhead, 
Marcel Sarmiento, 
Nacho Vigalondo
| 
    Stars:
Patrick Lawrie, 
Emilia Ares, 
Celia K. Milius, 
Steve Berens",,81.0,
Inosensu: Innocence,,"Animation, Action, Drama",7.5,"
In the year 2032, Batô, a cyborg detective for the anti-terrorist unit Public Security Section 9, investigates the case of a female robot--one created solely for sexual pleasure--who slaughtered her owner.","Director:
Mamoru Oshii
| 
    Stars:
Akio Ôtsuka, 
Atsuko Tanaka, 
Tamio Ôki, 
Kôichi Yamadera",,100.0,
Manny & Lo,,"Comedy, Drama",6.6,"
A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.","Director:
Lisa Krueger
| 
    Stars:
Scarlett Johansson, 
Aleksa Palladino, 
Mary Kay Place, 
Dean Silvers",,88.0,
Brotherly Love,,Drama,6.7,"
Set on the backdrop of Philadelphia's famed Overbrook High School, we track the lives of the nations number one high school basketball player Sergio Taylor as he deals with the early pressures of hood fame.","Director:
Jamal Hill
| 
    Stars:
Keke Palmer, 
Cory Hardrict, 
Romeo Miller, 
Eric D. Hill Jr.",,89.0,
Ashby,,"Comedy, Crime, Drama",6.4,"
High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live.","Director:
Tony McNamara
| 
    Stars:
Mickey Rourke, 
Nat Wolff, 
Emma Roberts, 
Sarah Silverman",,100.0,
Results,,"Comedy, Romance",5.4,"
Two mismatched personal trainers' lives are upended by the actions of a new, wealthy client.","Director:
Andrew Bujalski
| 
    Stars:
Guy Pearce, 
Cobie Smulders, 
Kevin Corrigan, 
Giovanni Ribisi",,105.0,
This Film Is Not Yet Rated,,Documentary,7.5,"
Kirby Dick's exposé about the American movie ratings board.","Director:
Kirby Dick
| 
    Stars:
Kirby Dick, 
Kimberly Peirce, 
Darren Aronofsky, 
Atom Egoyan",,98.0,
Mind Game,,"Animation, Adventure, Comedy",7.8,"
After a deadly encounter with two yakuza, a loser with a crush on his childhood girlfriend goes to heaven and back, embarking on a psychedelic self-discovery experience with her and his friends.","Directors:
Masaaki Yuasa, 
Kôji Morimoto
| 
    Stars:
Kôji Imada, 
Sayaka Maeda, 
Takashi Fujii, 
Seiko Takuma",,103.0,
Hell and Back,,"Animation, Adventure, Comedy",5.4,"
Two best friends set out to rescue their pal after he's accidentally dragged to hell.","Directors:
Tom Gianas, 
Ross Shuman
| 
    Stars:
Nick Swardson, 
Mila Kunis, 
Bob Odenkirk, 
T.J. Miller",,86.0,
Born to Be Blue,,"Biography, Drama, Music",6.9,"
A re-imagining of jazz legend Chet Baker's musical comeback in the late '60s.","Director:
Robert Budreau
| 
    Stars:
Ethan Hawke, 
Carmen Ejogo, 
Callum Keith Rennie, 
Tony Nappo",,97.0,
Life Itself,,"Documentary, Biography",7.8,"
The life and career of the renowned film critic and social commentator, Roger Ebert.","Director:
Steve James
| 
    Stars:
Roger Ebert, 
Chaz Ebert, 
Gene Siskel, 
Martin Scorsese",,121.0,
Hai Phuong,,"Action, Drama, Thriller",6.3,"
Veronica Ngo stars as an ex-gangster who is lying low in the countryside after becoming a mother, but she can't escape her violent past when her daughter is kidnapped.","Director:
Le-Van Kiet
| 
    Stars:
Veronica Ngo, 
Mai Cát Vi, 
Thanh Nhien Phan, 
Pham Anh Khoa",,98.0,
Our Man Flint,,"Action, Adventure, Comedy",6.5,"
When scientists use eco-terrorism to impose their will on the world by affecting extremes in the weather, Intelligence Chief Cramden calls in top agent Derek Flint.","Director:
Daniel Mann
| 
    Stars:
James Coburn, 
Lee J. Cobb, 
Gila Golan, 
Edward Mulhare",,108.0,
Hagane no renkinjutsushi: Mirosu no seinaru hoshi,,"Animation, Action, Adventure",7.0,"
In the lost holy land of Milos, the Elrics search for the truth behind an unknown form of alchemy. What secrets are hidden in Milos? Riddles must be solved and dangers faced before the truth can be found.","Director:
Kazuya Murata
| 
    Stars:
Vic Mignogna, 
Maxey Whitehead, 
Alexis Tipton, 
Matthew Mercer",,110.0,
Won't Back Down,,Drama,6.5,"
Two determined mothers­, one a teacher, look to transform their children's failing inner city school. Facing a powerful and entrenched bureaucracy, they risk everything to make a difference in the education and future of their children.","Director:
Daniel Barnz
| 
    Stars:
Viola Davis, 
Maggie Gyllenhaal, 
Holly Hunter, 
Oscar Isaac",,121.0,
Mob Psycho 100,,"Sci-Fi, Thriller",5.1,"
A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.","Stars:
Ayumu Mochizuki, 
Tatsuomi Hamada, 
Atsushi Arai, 
Masayuki Deai",462.0,24.0,
Jinn,,"Fantasy, Horror, Thriller",4.2,"
A man turns to a mysterious pair and a shackled mental patient for help in combating an ancient family curse.","Director:
Ajmal Zaheer Ahmad
| 
    Stars:
Dominic Rains, 
Ray Park, 
William Atherton, 
Faran Tahir",,97.0,
Nocturama,,"Drama, Thriller",6.4,"
Some young folks, tired of the society they're living in, plan a bomb attack over Paris before taking shelter for a night in a shopping center.","Director:
Bertrand Bonello
| 
    Stars:
Finnegan Oldfield, 
Vincent Rottiers, 
Hamza Meziani, 
Manal Issa",,130.0,
Seoul Searching,,"Comedy, Drama, Music",7.0,"
In 1986, a group of foreign born Korean teenagers attend a summer camp in South Korea.","Director:
Benson Lee
| 
    Stars:
Justin Chon, 
Jessika Van, 
In-Pyo Cha, 
Teo Yoo",,105.0,
Middle of Nowhere,,Drama,6.4,"
Ruby goes on a journey of self-discovery when she drops out of medical school in order to focus on her incarcerated husband's well-being.","Director:
Ava DuVernay
| 
    Stars:
Emayatzy Corinealdi, 
David Oyelowo, 
Lorraine Toussaint, 
Edwina Findley",,97.0,
17 filles,,Drama,6.0,"
When a rebellious teenager finds out that she is already eight weeks pregnant, she forms a pact with sixteen of her classmates to get pregnant simultaneously, raise their children together, and most of all, be in charge of their lives.","Directors:
Delphine Coulin, 
Muriel Coulin
| 
    Stars:
Louise Grinberg, 
Juliette Darche, 
Roxane Duran, 
Esther Garrel",,86.0,
Adult Beginners,,"Action, Comedy, Drama",5.6,"
A bankrupt businessman tries to restore good relations with his sister and her family.","Director:
Ross Katz
| 
    Stars:
Nick Kroll, 
Rose Byrne, 
Bobby Cannavale, 
Joel McHale",,92.0,
Finding Bliss,,"Comedy, Romance",5.3,"
A romantic comedy that explores the adult film industry through the eyes of an idealistic 25 year-old award winning film school grad.","Director:
Julie Davis
| 
    Stars:
Leelee Sobieski, 
Matthew Davis, 
Jamie Kennedy, 
Denise Richards",,96.0,
The King and I,,"Animation, Family, Fantasy",4.5,"
Traveling to the exotic kingdom of Siam, English schoolteacher Anna Leonowens soon discovers that her most difficult challenge is the stubborn, imperious King himself.","Director:
Richard Rich
| 
    Stars:
Miranda Richardson, 
Martin Vidnovic, 
Christiane Noll, 
Ian Richardson",,87.0,
All the Queen's Men,,"Action, Comedy, Drama",4.9,"
A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war.","Director:
Stefan Ruzowitzky
| 
    Stars:
Eddie Izzard, 
Matt LeBlanc, 
Udo Kier, 
James Cosmo",,99.0,
Any Day Now,,Drama,7.5,"
In the 1970s, a gay couple fights a biased legal system to keep custody of the abandoned mentally handicapped teenager that comes to live under their roof.","Director:
Travis Fine
| 
    Stars:
Alan Cumming, 
Garret Dillahunt, 
Isaac Leyva, 
Frances Fisher",,98.0,
Pyaar Ka Punchnama 2,,"Comedy, Drama, Romance",7.2,"
After falling in love, three roommates experience changes in their lives.","Director:
Luv Ranjan
| 
    Stars:
Kartik Aaryan, 
Omkar Kapoor, 
Sunny Singh Nijjar, 
Nushrat Bharucha",,137.0,
Oorlogswinter,,"Drama, History, War",7.0,"
In the Nazi-occupied Netherlands, a teenage boy gets involved in the Dutch Resistance after coming to the aid of a wounded RAF pilot.","Director:
Martin Koolhoven
| 
    Stars:
Martijn Lakemeier, 
Jamie Campbell Bower, 
Yorick van Wageningen, 
Raymond Thiry",,103.0,
The Last of Robin Hood,,"Biography, Drama, Romance",5.7,"
The last days in the life of legendary Hollywood actor Errol Flynn.","Directors:
Richard Glatzer, 
Wash Westmoreland
| 
    Stars:
John Hudson Messerall, 
Brian Bascle, 
Daniel J. Clancy, 
Kelly O'Neal",,94.0,
Yoake tsugeru Rû no uta,,"Animation, Adventure, Comedy",6.8,"
The story centers on Kai, a gloomy middle school student whose life changes after meeting Lu, a mermaid.","Director:
Masaaki Yuasa
| 
    Stars:
Kanon Tani, 
Shôta Shimoda, 
Minako Kotobuki, 
Sôma Saitô",,112.0,
Fed Up,,Documentary,7.7,"
An examination of America's obesity epidemic and the food industry's role in aggravating it.","Director:
Stephanie Soechtig
| 
    Stars:
Michele Simon, 
Katie Couric, 
Bill Clinton, 
Michael Bloomberg",,92.0,
Whitney,,"Documentary, Biography, Drama",7.3,"
An in-depth look at the life and music of Whitney Houston.","Director:
Kevin Macdonald
| 
    Stars:
Whitney Houston, 
Ellen White, 
Michael Houston, 
Cissy Houston",,120.0,
Under solen,,"Drama, Romance",6.7,"
Olof lives alone on a farm after the death of his mother. Unable to read and write, he is dependent on his younger friend, Erik. Olof advertises for a housekeeper, and Ellen arrives. During summer Olof's heart and Erik's desires develops.","Director:
Colin Nutley
| 
    Stars:
Rolf Lassgård, 
Helena Bergström, 
Johan Widerberg, 
Gunilla Röör",,130.0,
Damsels in Distress,,"Comedy, Drama, Romance",5.7,"
A trio of girls set out to change the male-dominated environment of the Seven Oaks college campus, and to rescue their fellow students from depression, grunge and low standards of every kind.","Director:
Whit Stillman
| 
    Stars:
Greta Gerwig, 
Adam Brody, 
Lio Tipton, 
Megalyn Echikunwoke",,99.0,
